configuration,topology_level,slice_type,slice_value,cases,h0_cost_mape,dnn_cost_mape,cost_mape_ratio,h0_cost_wape,dnn_cost_wape,cost_wape_ratio,h0_signed_bias,dnn_signed_bias,strict_mape_and_wape_improvement
P2D1,L3,model,llama-3.2-3b-instruct,300,0.02273478252023929,0.019667550336255724,0.8650863635377637,0.021795241895464296,0.018673939471801015,0.8567897324272028,-0.008715593686083097,0.008423965420587312,True
P2D1,L3,model,mixtral-8x7b-instruct-v0.1,300,0.022529782567775995,0.016440588112732434,0.729726887655239,0.021606481213943304,0.015791870804651418,0.7308858230214947,-0.008536529019182254,0.003488658663889668,True
P2D1,L3,model,qwen2.5-14b-instruct,300,0.021850895664741143,0.01595726329795477,0.7302795978154614,0.021053804789583963,0.015373694814678287,0.7302098109261552,-0.010916167225685844,0.0025150247164426693,True
P2D1,L3,model,qwen3-30b-a3b,300,0.01846075866243394,0.01710056216088874,0.9263195773035546,0.017834188314378167,0.016335933857808748,0.9159897590987359,-0.010219261912983101,0.0009860074153871402,True
P2D1,L3,model,qwen3-8b,300,0.022089716422299073,0.015277027793727157,0.6915900368148384,0.02126914974186601,0.014798666941190279,0.6957808431834354,-0.009273612322234046,0.002981684271385469,True
P2D1,L3,overall,all,1800,0.025919664177237022,0.021943072024673813,0.8465801051521531,0.023824529430494904,0.020031069533690226,0.8407750336529574,-0.00714993984030347,0.003959949672827143,True
P2D1,L3,segment,burstgpt_1,600,0.027437390277326827,0.024126897028069888,0.879343727089358,0.023219143001656877,0.020712278034773525,0.8920345610212889,-0.004105723550230243,0.003938504286428171,True
P2D1,L3,segment,burstgpt_2,600,0.024082835997165743,0.01723913033404418,0.7158264224393264,0.023473383524131485,0.016271896976138036,0.693206284445953,-0.012725278802473415,0.0027507648790643957,True
P2D1,L3,segment,burstgpt_3,600,0.026238766257218493,0.024463188711907374,0.932329991132009,0.024738951137807382,0.02216080353805642,0.8957858970904025,-0.006166420891666094,0.004902277249719742,True
P2D2_ALL_TO_ALL,L1,model,deepseek-v2-lite,300,0.041395923068853785,0.04095185369935095,0.9892726303321171,0.029197801806888603,0.029086767087842875,0.9961971548481594,-0.00225992020317833,0.004021953745491383,True
P2D2_ALL_TO_ALL,L1,model,qwen3-8b,300,0.020195661265962873,0.01407972817058173,0.6971659895242578,0.01949811518161496,0.013693761480141979,0.7023120620937768,-0.008887701694472866,0.002329813875108353,True
P2D2_ALL_TO_ALL,L1,overall,all,600,0.03079579216740833,0.02751579093496634,0.8934919025751424,0.025735765572534586,0.02359265730592281,0.9167264614463648,-0.004625524429654527,0.0034179909814164256,True
P2D2_ALL_TO_ALL,L1,segment,burstgpt_1,200,0.030775143004329406,0.026422350995222207,0.8585614367902416,0.022870173776589106,0.020711435444930676,0.9056090105503174,-0.0016084774626201584,0.0028950122504688295,True
P2D2_ALL_TO_ALL,L1,segment,burstgpt_2,200,0.03207411747541183,0.026265869707443937,0.8189116887652319,0.029834750742390895,0.024027409754786618,0.8053497735661361,-0.009637662584783614,0.002855614699521398,True
P2D2_ALL_TO_ALL,L1,segment,burstgpt_3,200,0.029538116022483754,0.029859152102232875,1.0108685360807965,0.026480379921305034,0.02653742645266611,1.0021542942937605,-0.004994584918279295,0.004334519010989186,False
P2D2_ALL_TO_ALL,L2,model,deepseek-v2-lite,300,0.04143313515635809,0.04098113429447895,0.9890908361104367,0.029211777195205527,0.029090682628758423,0.9958545977658977,-0.0022158546531778965,0.00402696712534303,True
P2D2_ALL_TO_ALL,L2,model,qwen3-8b,300,0.020268688908311697,0.014142329400342926,0.6977426840146281,0.01956737189088196,0.013750722679567257,0.702737330094638,-0.00885118452701258,0.002401506146684814,True
P2D2_ALL_TO_ALL,L2,overall,all,600,0.030850912032334896,0.02756173184741094,0.8933846694231742,0.025806685635364434,0.023674696209370294,0.9173861589156359,-0.004558550240642181,0.0034530754975410005,True
P2D2_ALL_TO_ALL,L2,segment,burstgpt_1,200,0.030831191684517523,0.026469214726791562,0.8585206500494623,0.02291852811037751,0.020766504885222574,0.906101159080085,-0.0015385055797500036,0.002895977887999321,True
P2D2_ALL_TO_ALL,L2,segment,burstgpt_2,200,0.03211818478544087,0.02630648509593958,0.8190526728604,0.029973309908138648,0.02417572891933851,0.8065752161983978,-0.009583381710770783,0.0029365587771264263,True
P2D2_ALL_TO_ALL,L2,segment,burstgpt_3,200,0.029603359627046282,0.029909495719501678,1.0103412618132606,0.026545657883281542,0.026612479063659853,1.0025172169652798,-0.004934664330810847,0.004379523930287631,False
P2D2_ALL_TO_ALL,L3,model,deepseek-v2-lite,300,0.04142948029375386,0.04097313008041226,0.9889848916736133,0.029210414178837983,0.029088484894957346,0.9958258283112955,-0.002232180610507984,0.004024708928726633,True
P2D2_ALL_TO_ALL,L3,model,qwen3-8b,300,0.02034027024161809,0.014165319570037808,0.6964174714382232,0.01963345118419545,0.013772060227285532,0.7014589589002964,-0.008948565984569414,0.002362985961045104,True
P2D2_ALL_TO_ALL,L3,overall,all,600,0.030884875267685973,0.02756922482522503,0.8926448491786522,0.02579957853489863,0.02363353981232189,0.9160436392537662,-0.004624221453215254,0.003432886246349048,True
P2D2_ALL_TO_ALL,L3,segment,burstgpt_1,200,0.030888421925260805,0.02647210089742048,0.8570234167829526,0.02293877973015702,0.02074489377102961,0.9043590816540616,-0.0016052464784756459,0.002906267120687744,True
P2D2_ALL_TO_ALL,L3,segment,burstgpt_2,200,0.032144934058677875,0.026313352319348667,0.8185847347303887,0.029918365512414755,0.024091177412278043,0.8052303994441576,-0.009659002037137472,0.0028691797243437034,True
P2D2_ALL_TO_ALL,L3,segment,burstgpt_3,200,0.029621269819119243,0.029922221258905948,1.0101599776655237,0.026529436376033905,0.026573565164406603,1.0016633895928737,-0.004984764599040723,0.004354062667622843,False
