pp_size,max_microbatch,profile_id,source,segment,rps,interarrival_cv,repeat,phase,histogram_changed,profiled_boundary_calls,draining_boundary_calls,calls_delta_fraction,profiled_boundary_bytes,draining_boundary_bytes,bytes_delta_fraction,calls_distribution_tvd,profiled_pipeline_calls,draining_pipeline_calls,profiled_pipeline_bytes,draining_pipeline_bytes
4,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,decode,1,1262,1076,0.17286245353159851,37273600,37273600,0.0,0.2152893560112879,3786,3228,111820800,111820800
4,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,prefill,1,24,8,2.0,94420992,94420992,0.0,0.9166666666666666,72,24,283262976,283262976
4,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,decode,1,546,528,0.03409090909090909,5799936,5799936,0.0,0.08753746253746258,1638,1584,17399808,17399808
4,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,prefill,1,24,8,2.0,94420992,94420992,0.0,1.0,72,24,283262976,283262976
4,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,decode,1,536,524,0.022900763358778626,5799936,5799936,0.0,0.06690782727583457,1608,1572,17399808,17399808
4,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,prefill,1,20,6,2.3333333333333335,94420992,94420992,0.0,0.9,60,18,283262976,283262976
4,16,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,decode,1,532,518,0.02702702702702703,5799936,5799936,0.0,0.06360495834180044,1596,1554,17399808,17399808
4,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,prefill,1,64,6,9.666666666666666,62160896,62160896,0.0,0.96875,192,18,186482688,186482688
4,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,decode,1,1138,276,3.1231884057971016,10043392,10043392,0.0,0.5893380199179847,3414,828,30130176,30130176
4,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,prefill,1,64,6,9.666666666666666,62160896,62160896,0.0,0.96875,192,18,186482688,186482688
4,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,decode,1,1032,276,2.739130434782609,10043392,10043392,0.0,0.4922480620155039,3096,828,30130176,30130176
4,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,prefill,1,64,6,9.666666666666666,62160896,62160896,0.0,0.96875,192,18,186482688,186482688
4,16,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,decode,1,940,276,2.4057971014492754,10043392,10043392,0.0,0.4028368794326241,2820,828,30130176,30130176
4,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,prefill,1,100,74,0.35135135135135137,2398896128,2398896128,0.0,0.36,300,222,7196688384,7196688384
4,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,decode,1,1754,806,1.1761786600496278,37273600,37273600,0.0,0.678596387979549,5262,2418,111820800,111820800
4,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,prefill,1,100,74,0.35135135135135137,2398896128,2398896128,0.0,0.3,300,222,7196688384,7196688384
4,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,decode,1,1488,982,0.515274949083503,37273600,37273600,0.0,0.4151774960033287,4464,2946,111820800,111820800
4,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,prefill,1,98,74,0.32432432432432434,2398896128,2398896128,0.0,0.30612244897959184,294,222,7196688384,7196688384
4,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,decode,1,1370,1016,0.3484251968503937,37273600,37273600,0.0,0.39109431576527387,4110,3048,111820800,111820800
8,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,prefill,0,64,64,0.0,94420992,94420992,0.0,0.0,448,448,660946944,660946944
8,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,decode,0,708,708,0.0,5799936,5799936,0.0,0.0,4956,4956,40599552,40599552
8,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,prefill,0,64,64,0.0,94420992,94420992,0.0,0.0,448,448,660946944,660946944
8,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,decode,0,708,708,0.0,5799936,5799936,0.0,0.0,4956,4956,40599552,40599552
8,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,prefill,0,64,64,0.0,94420992,94420992,0.0,0.0,448,448,660946944,660946944
8,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,decode,0,708,708,0.0,5799936,5799936,0.0,0.0,4956,4956,40599552,40599552
8,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,prefill,0,64,64,0.0,62160896,62160896,0.0,0.0,448,448,435126272,435126272
8,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,decode,0,1226,1226,0.0,10043392,10043392,0.0,0.0,8582,8582,70303744,70303744
8,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,prefill,0,64,64,0.0,62160896,62160896,0.0,0.0,448,448,435126272,435126272
8,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,decode,0,1226,1226,0.0,10043392,10043392,0.0,0.0,8582,8582,70303744,70303744
