model_id,topology_level,page_count,payload_bytes,replica_0_us,replica_1_us,official_latency_us,relative_spread,above_threshold
llama-3.2-3b-instruct,L2,2048,234881024,5672.741,5509.822,5672.741,0.02871962601500754,False
llama-3.2-3b-instruct,L2,3072,352321536,8547.2495,8552.806,8552.806,0.0006496698276566306,False
llama-3.2-3b-instruct,L2,4096,469762048,11480.355,11466.743,11480.355,0.001185677620596155,False
llama-3.2-3b-instruct,L3,1,114688,70.06700000000001,69.91300000000001,70.06700000000001,0.002197896299256374,False
llama-3.2-3b-instruct,L3,2,229376,78.85849999999999,77.89500000000001,78.85849999999999,0.01221808682640403,False
llama-3.2-3b-instruct,L3,3,344064,79.922,79.2305,79.922,0.008652185881234087,False
llama-3.2-3b-instruct,L3,4,458752,81.5495,80.98349999999999,81.5495,0.006940569837951214,False
llama-3.2-3b-instruct,L3,6,688128,85.9725,85.482,85.9725,0.005705312745354588,False
llama-3.2-3b-instruct,L3,8,917504,88.943,88.32499999999999,88.943,0.0069482702404912045,False
llama-3.2-3b-instruct,L3,12,1376256,97.79050000000001,97.3845,97.79050000000001,0.0041517325302560665,False
llama-3.2-3b-instruct,L3,16,1835008,106.69399999999999,106.11,106.69399999999999,0.0054735973906685385,False
llama-3.2-3b-instruct,L3,24,2752512,124.9975,124.6285,124.9975,0.0029520590411808217,False
llama-3.2-3b-instruct,L3,32,3670016,143.484,142.701,143.484,0.0054570544450950305,False
llama-3.2-3b-instruct,L3,48,5505024,202.0615,200.97199999999998,202.0615,0.005391922756190641,False
llama-3.2-3b-instruct,L3,64,7340032,238.0625,237.8055,238.0625,0.0010795484379102337,False
llama-3.2-3b-instruct,L3,96,11010048,342.8935,339.2975,342.8935,0.010487221250913194,False
llama-3.2-3b-instruct,L3,128,14680064,437.5815,437.462,437.5815,0.000273091984007588,False
llama-3.2-3b-instruct,L3,192,22020096,632.673,629.129,632.673,0.005601629909921844,False
llama-3.2-3b-instruct,L3,256,29360128,806.042,802.242,806.042,0.00471439453527244,False
llama-3.2-3b-instruct,L3,384,44040192,1090.634,1089.534,1090.634,0.001008587665522906,False
llama-3.2-3b-instruct,L3,512,58720256,1429.575,1428.6455,1429.575,0.0006501932392494005,False
llama-3.2-3b-instruct,L3,768,88080384,2117.8445,2106.8424999999997,2117.8445,0.005194904536192533,False
llama-3.2-3b-instruct,L3,1024,117440512,2835.3864999999996,2838.67,2838.67,0.0011567036675627876,False
llama-3.2-3b-instruct,L3,1536,176160768,4268.7315,4253.0485,4268.7315,0.0036739251461470447,False
llama-3.2-3b-instruct,L3,2048,234881024,5668.994,5637.049,5668.994,0.005635038597677068,False
llama-3.2-3b-instruct,L3,3072,352321536,8601.511999999999,8520.741,8601.511999999999,0.009390325793883544,False
llama-3.2-3b-instruct,L3,4096,469762048,11567.335,11491.989,11567.335,0.006513687033357256,False
qwen2.5-14b-instruct,L1,1,196608,113.30449999999999,115.1825,115.1825,0.01630456015453749,False
qwen2.5-14b-instruct,L1,2,393216,122.935,122.45949999999999,122.935,0.003867897669500231,False
qwen2.5-14b-instruct,L1,3,589824,125.7295,126.0575,126.0575,0.002601987188386276,False
qwen2.5-14b-instruct,L1,4,786432,127.92150000000001,128.70600000000002,128.70600000000002,0.0060952869330101805,False
qwen2.5-14b-instruct,L1,6,1179648,134.19,135.079,135.079,0.006581333886096358,False
qwen2.5-14b-instruct,L1,8,1572864,141.5745,141.5525,141.5745,0.0001553952159463135,False
qwen2.5-14b-instruct,L1,12,2359296,155.964,156.36599999999999,156.36599999999999,0.0025708913702466446,False
qwen2.5-14b-instruct,L1,16,3145728,169.272,167.828,169.272,0.008530648896450615,False
qwen2.5-14b-instruct,L1,24,4718592,194.00799999999998,195.3625,195.3625,0.006933265084138614,False
qwen2.5-14b-instruct,L1,32,6291456,226.1115,226.5285,226.5285,0.0018408279752878847,False
qwen2.5-14b-instruct,L1,48,9437184,328.1465,327.154,328.1465,0.0030245637238245932,False
qwen2.5-14b-instruct,L1,64,12582912,390.49300000000005,391.29600000000005,391.29600000000005,0.002052154890415433,False
qwen2.5-14b-instruct,L1,96,18874368,567.277,567.4945,567.4945,0.0003832636263434671,False
qwen2.5-14b-instruct,L1,128,25165824,729.977,728.135,729.977,0.002523367174582192,False
qwen2.5-14b-instruct,L1,192,37748736,984.6185,994.111,994.111,0.009548732485607694,False
qwen2.5-14b-instruct,L1,256,50331648,1259.515,1255.8225,1259.515,0.002931684021230481,False
qwen2.5-14b-instruct,L1,384,75497472,1829.5465,1826.868,1829.5465,0.0014640240081353415,False
qwen2.5-14b-instruct,L1,512,100663296,2411.071,2410.585,2411.071,0.00020157017358670746,False
qwen2.5-14b-instruct,L1,768,150994944,3585.087,3676.5815000000002,3676.5815000000002,0.024885753246596122,False
qwen2.5-14b-instruct,L1,1024,201326592,4792.264,4910.1795,4910.1795,0.024014498858952113,False
qwen2.5-14b-instruct,L1,1536,301989888,7300.176,7338.034,7338.034,0.005159147531886506,False
qwen2.5-14b-instruct,L1,2048,402653184,9866.908,9848.618,9866.908,0.0018536708764284673,False
qwen2.5-14b-instruct,L1,3072,603979776,14999.521,15023.959,15023.959,0.0016266018830323019,False
qwen2.5-14b-instruct,L1,4096,805306368,19963.712,19924.135,19963.712,0.0019824469517493106,False
qwen2.5-14b-instruct,L2,1,196608,105.174,103.639,105.174,0.014594861847985346,False
qwen2.5-14b-instruct,L2,2,393216,119.01750000000001,118.7205,119.01750000000001,0.002495431344130159,False
qwen2.5-14b-instruct,L2,3,589824,121.05699999999999,121.76249999999999,121.76249999999999,0.005794066317626533,False
qwen2.5-14b-instruct,L2,4,786432,123.1705,123.4585,123.4585,0.0023327676911674504,False
qwen2.5-14b-instruct,L2,6,1179648,131.255,131.8125,131.8125,0.004229492650545317,False
qwen2.5-14b-instruct,L2,8,1572864,138.753,137.756,138.753,0.007185430224931971,False
qwen2.5-14b-instruct,L2,12,2359296,151.65050000000002,152.753,152.753,0.00721753418918099,False
